query_or_cluster	ownership_type	primary_owner_sku	supporting_skus	competing_skus	overlap_risk	ownership_reason	manual_review_required
кулон зеркалом со знаком рак зеркало	SKU_SPECIFIC	2186796339			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
кулон знак зодиака весы с цепочкой	SKU_SPECIFIC	2186802133			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
кулон зодиака	FAMILY_SHARED		2271270261		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулон зодиакальный козерог	SKU_SPECIFIC	1720147059			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
кулон из рак	SKU_SPECIFIC	1720153914			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
кулон коловрат	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
кулон мужской зеркало	FAMILY_SHARED		2271275793		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулон мужской на шею рак	SKU_SPECIFIC	2271262133			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
кулон мужской рыбы	SKU_SPECIFIC	2186848313			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
кулон на зеркало автомобиля	FAMILY_SHARED		2186802133		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулон на зеркало в машину	STORE_GENERIC		1602715556;2271234726;2271275793;2559817779		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
кулон на шею для мальчика знак зодиака	FAMILY_SHARED		2186848313		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулон оеребро телец	SKU_SPECIFIC	2271292556			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
кулон подвеска телец мужской	SKU_SPECIFIC	2186766628			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
кулон рода славянский	FAMILY_SHARED		2183808182		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулон с рыбами	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
кулон семергал	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
кулон скорпион мужской на шею	SKU_SPECIFIC	1720160556			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
кулон славянские	FAMILY_SHARED		1640276582		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулон череп телец	SKU_SPECIFIC	2271292556			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
кулон четки	FAMILY_SHARED		2186796339		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулончик в машину	FAMILY_SHARED		2271262133		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулончик весы	SKU_SPECIFIC	1720137256			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
кулончик зеркало оберег	FAMILY_SHARED		1720151850		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулончик с зеркалом оберег	FAMILY_SHARED		1640334195		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулончик с машинкой	FAMILY_SHARED		2271210394		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулончики в машину	FAMILY_SHARED		2186848313		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулоны амулеты	FAMILY_SHARED		2186836116		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулоны близницы	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
кулоны зеркальные обереги	FAMILY_SHARED		1611643847		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулоны знаки зодиака набор	FAMILY_SHARED		1720141903		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
кулоны обереги	STORE_GENERIC		1640276582;2271219774		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
кумит бога перуна	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
купить амулет	FAMILY_SHARED		1640264403		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
купить знак рака	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
купить подвеску на зеркало в машину	FAMILY_SHARED		2186766628		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
купить раков	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
купить славянского бога род подвеску	FAMILY_SHARED		2183808182		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
лада оберег	FAMILY_SHARED		1720131759		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
ладанка оберег в машину на зеркало	FAMILY_SHARED		1720144370;2186846833		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
лампа подвеска в машину	FAMILY_SHARED		2559817779		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
лапа орлиная настоящая в машину на зеркало	FAMILY_SHARED		1720161841		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
лев	FAMILY_SHARED	1720151850;2186857668;2271188511		1720151850;2186857668;2271188511	HIGH	3 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
лев в машину на панель	SKU_SPECIFIC	1720151850			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
лев в машину с креплением	SKU_SPECIFIC	1720151850			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
лего машина не сло	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
лист марихуаны подвеска в машину на зеркало	FAMILY_SHARED		1720160556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
ловец снов в машину	FAMILY_SHARED		1720131759;1720155616;2186802133;2186843798;2186865070;2271188511;2271219774		LOW	0 exact/strong owner(s); 7 family/generic supporting relation(s).	NO
ловец снов в машину мужской	FAMILY_SHARED		1602722942		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
ловец снов рыбы	SKU_SPECIFIC	2271270261			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
льняная рубашка старославянская	FAMILY_SHARED		1640337426		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
люстра в виде инь янь	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
"магазин ""стрелец"	FAMILY_SHARED	1720124782;2271285786		1720124782;2271285786	HIGH	2 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
магические	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
магические атрибуты	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
магические подвески	FAMILY_SHARED		2271234726		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
магические четки	FAMILY_SHARED		1630040194		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
магический амулет , молвинец оберег	SKU_SPECIFIC	1640306007			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
магический амулет , оберег	STORE_GENERIC		1602717077;1720155616;1720160556;2186850644;2186865070		LOW	0 exact/strong owner(s); 5 family/generic supporting relation(s).	NO
магическое зеркало	STORE_GENERIC		1720153914;1720161841;2184098058;2186766628;2186852750;2271292556		LOW	0 exact/strong owner(s); 6 family/generic supporting relation(s).	NO
магическое зеркало подвеска	FAMILY_SHARED		2184153852		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
магия	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
магия оберег защитник	FAMILY_SHARED		1720151850		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
майка валькнут	SKU_SPECIFIC	1611695246			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
майки со знаком зодиака дева	SKU_SPECIFIC	2186865070			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
макошь	SKU_SPECIFIC	2184133137			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
макошь доска	SKU_SPECIFIC	2184133137			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
макошь оберег	SKU_SPECIFIC	2184133137			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
макошь славянский оберег	SKU_SPECIFIC	2184133137			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
маленький кулон овен	SKU_SPECIFIC	2271251938			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
маленький оберев машину	STORE_GENERIC		1629553898;1720144370;2186848313		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
мара	SKU_SPECIFIC	2184199958			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
маска близнецы	SKU_SPECIFIC	2271210394			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
машина - дева	SKU_SPECIFIC	2186843798			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
машина уипочка	FAMILY_SHARED		2271262133		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
машинка минивен с подвеской на крыше	FAMILY_SHARED		1611695246		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
машинка раковый	FAMILY_SHARED		2271262133		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
машинка янд	FAMILY_SHARED		1629553898		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
машинки с подвеской	STORE_GENERIC		1602715556;2183921966		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
машинки хотвилс монст трак рыбы	SKU_SPECIFIC	1720155616			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
машину подвеска	FAMILY_SHARED		2186836116		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
машину четки	FAMILY_SHARED		2186796339;2271234726		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
машины на зеркало хк локомотив	FAMILY_SHARED		1720161841		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
машины с подвеской	FAMILY_SHARED		2271285786		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
машины четкины машины	FAMILY_SHARED		2271251938		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
медальон вдв в машину на зеркало	STORE_GENERIC		1842444165;2271240621		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
медальон козерог	SKU_SPECIFIC	1720147059			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
медальон старославянская	FAMILY_SHARED		1640337426		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
медведь gac плюшевый в машину на зеркало	FAMILY_SHARED		1720124782		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
межславянский	FAMILY_SHARED		1640337426		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
меловые ароматизаторы в автомобиль подвеска на зеркало	FAMILY_SHARED		2184098058		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
мелонг зеркало	STORE_GENERIC		1630040194;1720161841		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
металлическая подвеска в машину на зеркало hongoi	FAMILY_SHARED		2186802133;2271262133		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
метла оберег	FAMILY_SHARED		1720151850		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
методическая подвеска рекстон на зеркало	FAMILY_SHARED		1720141903;1720144370;1720160556;1720161841		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
мешочек со смехом подвеска в машину	STORE_GENERIC		1720124782;1720151850;1720153914;2184153852;2186766628;2271285786		LOW	0 exact/strong owner(s); 6 family/generic supporting relation(s).	NO
мимо меня обереги	FAMILY_SHARED		2271262133		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
мини подвеска оберег	STORE_GENERIC		1943215793;2271262133		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
мир старославянской	FAMILY_SHARED		1640337426		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
мконка оберег в машину на зеркало круглая	STORE_GENERIC		2184153852;2271251938		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
молвинец в	SKU_SPECIFIC	1640306007			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
молвинец золотой	SKU_SPECIFIC	1640306007			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
молвинец оберег	SKU_SPECIFIC	1640306007			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
молд белобог	SKU_SPECIFIC	1630033296			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
молд берегиня макошь	SKU_SPECIFIC	2184133137			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
молд водолей	SKU_SPECIFIC	1720141903			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
молд козерог	SKU_SPECIFIC	1720147059			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
молитва	SKU_SPECIFIC	1943215793			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
молитва оберег в дом	SKU_SPECIFIC	1943215793			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
молитвой деревянный православный	SKU_SPECIFIC	1943215793			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
молитвы	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
молитвы о детях православные даниленко	SKU_SPECIFIC	1943215793			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
молот сварога подвеска	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
монстры на кан кулах подвеска в машину	STORE_GENERIC		1630040194;1720161841;2184168890		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
мотоцикл подвеска в машину	FAMILY_SHARED		2559817779		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
мощные амулеты	FAMILY_SHARED		1611643847		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
мужская подвеска на зеркало в машину	FAMILY_SHARED		2186839757		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
мужской кулон инь ян	SKU_SPECIFIC	1629553898			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
мужской кулон рыба	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
мужской талисман на шею	FAMILY_SHARED		2271262133		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
мужчине на день рождения	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
мусульманская подвеска в машину тюбетейка	FAMILY_SHARED		1611695246		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
мусульманский оберег	STORE_GENERIC		1629553898;1640326205;1720141903;1720151850;1943215793;2326866320;2559817779		LOW	0 exact/strong owner(s); 7 family/generic supporting relation(s).	NO
мусульманский оберег брелок на автомобиль	FAMILY_SHARED		1943215793		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
мусульманский оберег в машину	STORE_GENERIC		1640326205;2186865070;2271262133;2559817779		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
мусульманский оберег в машину на клею	FAMILY_SHARED		1720144370		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
мусульманский оберег на веревочке	STORE_GENERIC		1720131759;1720155616;2184133137		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
мусульманский талисман нс зеркало	FAMILY_SHARED		2271210394		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
мыло стрелец	SKU_SPECIFIC	2186839757			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
мячик мягкий в машину на зеркало смайлик	FAMILY_SHARED		2184098058		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на дифлектоп араматизатор в машину знак задиака	FAMILY_SHARED		2186796339		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало авто подвеска	STORE_GENERIC		1636041142;1720131759;2184168890;2186857668;2271285786		LOW	0 exact/strong owner(s); 5 family/generic supporting relation(s).	NO
на зеркало авто подвеска женская в машину	STORE_GENERIC		2184133137;2271262133		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
на зеркало автомобиля подвеска	FAMILY_SHARED		2271210394		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало автомобиля подвеска в машину	STORE_GENERIC		1720155616;1943215793		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
на зеркало автомобиля подвеска герю	FAMILY_SHARED		2559817779		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало автомобиля подвеска красная	STORE_GENERIC		1611695246;1629493686;1629553898;1640264403;1640306007;1640334195;2186796339;2186802133;2186836116;2186852750;2186856503;2186857668		LOW	0 exact/strong owner(s); 12 family/generic supporting relation(s).	NO
на зеркало автомобиля подвеска мужская	FAMILY_SHARED		2271285786		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало в авто оберег	FAMILY_SHARED		1720161841		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало в авто четки	FAMILY_SHARED		2271219774		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало в машину	STORE_GENERIC		1629553898;1720124782;2186839757;2186857668		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
на зеркало в машину аксессуары необычные	FAMILY_SHARED		1629493686		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало в машину брелок	FAMILY_SHARED		1629493686		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало в машину подвеска	STORE_GENERIC		2186848313;2186850644;2186856503;2271188511;2271240621;2271251938;2271270261;2559817779		LOW	0 exact/strong owner(s); 8 family/generic supporting relation(s).	NO
на зеркало в машину подвеска дева	FAMILY_SHARED	1720144370;2186843798		1720144370;2186843798	HIGH	2 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
на зеркало в машину подвеска женская сердечко сере	FAMILY_SHARED		2186856503;2271292556		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
на зеркало в машину подвеска молот викингов	FAMILY_SHARED		1720160556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало в машину подвеска россия	STORE_GENERIC		1630040194;1720161841;2184168890		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
на зеркало в машину подвеска уголовный розыск	STORE_GENERIC		1623753672;2186766628		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
на зеркало в машину подвеска участник бое	STORE_GENERIC		2271285786;2559817779		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
на зеркало в машину скорпион	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
на зеркало в машину талисман	FAMILY_SHARED		1611695246		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало в машину украшение	STORE_GENERIC		1640330072;1640337426;1720151850;2186796339;2271219774		LOW	0 exact/strong owner(s); 5 family/generic supporting relation(s).	NO
на зеркало знак зодиака рак в машину	FAMILY_SHARED	1720153914;2271262133		1720153914;2271262133	HIGH	2 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
на зеркало подвеска	STORE_GENERIC		1630040194;1720141903;2186802133		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
на зеркало подвеска авто	FAMILY_SHARED		2271234726		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало подвеска автомобиля	STORE_GENERIC		1602717077;1640276582		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
на зеркало подвеска в машину	STORE_GENERIC		1602722942;1640326230		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
на зеркало подвеска в машину с символом следственного	FAMILY_SHARED		1842444165		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало подвеска в машину с символом следственного ком	FAMILY_SHARED		1842444165		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало подвеска для машины	FAMILY_SHARED		2271285786		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на зеркало украшение в машину	STORE_GENERIC		1640276582;1640337426;2186796339		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
на машину в салон оберег	FAMILY_SHARED		2184153852		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на машину подвеска женская	FAMILY_SHARED		2186802133;2186856503;2271251938		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
на присоске в машину жезл оберег	STORE_GENERIC		1640276582;1720148880		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
на удачу талисман набор	FAMILY_SHARED		2271270261		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
на четки подвеска	STORE_GENERIC		1629553898;1720124782;2186839757;2271275793		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
наблр для творчества знако зодиака	FAMILY_SHARED		2271188511		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
набор	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
набор автомобилиста	STORE_GENERIC		1611695246;1623753672;1640276582;1640326230		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
набор декоративных кисточек с бусинами	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
набор для близнеца	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
набор для творчества	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
набор для творчества на дев	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
набор для четки	FAMILY_SHARED		1720153914		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
набор знак зодиака	FAMILY_SHARED		1720148880		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
набор знаков зодиака	FAMILY_SHARED		1720155616		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
набор ключей для автомобиля	FAMILY_SHARED		1611695246		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
набор подвесок в машину	FAMILY_SHARED		1720151850		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
набор подвесок на зеркало	FAMILY_SHARED		2186839757;2271270261		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
набор славянские боги дерево	FAMILY_SHARED		2184098058		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
наклейка чур	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
наклейкана машину тилец	FAMILY_SHARED		2186766628		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
наклейки на автомобиль стрелец	SKU_SPECIFIC	2186839757			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
наклейки на машину прикольные большие знак весы	SKU_SPECIFIC	2186802133			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
наклейки на машину стри	FAMILY_SHARED		2184098058		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
наклейки на телефон знак зодиака стрелец	SKU_SPECIFIC	2186839757			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
настраиваимое зеркало мини в машину	FAMILY_SHARED		1640306007		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
нательные славянские обереги лось	FAMILY_SHARED		1640306007		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
нашивка телец	SKU_SPECIFIC	2186766628			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
нашивкатна рюкзак телец	FAMILY_SHARED	1720161841;2186766628		1720161841;2186766628	HIGH	2 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
необычный обвес в машину на зеркало	FAMILY_SHARED		1720144370;2186802133;2186848313;2271210394		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
нитка оберег на руку водолей	SKU_SPECIFIC	2186846833			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
ниша под стиральную машинку и рак	SKU_SPECIFIC	2186796339			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
о.берег в машину	STORE_GENERIC		1640264403;1720151850;2186796339		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
обвес бусы телец	SKU_SPECIFIC	2186766628			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
обвес на сумку рак	SKU_SPECIFIC	2186796339			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
обеоег на зеркало в машину мусульманская	FAMILY_SHARED		2559817779		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
оберег	STORE_GENERIC		1602722942;1611643847;1611695246;1629553898;1630033296;1630040194;1636041142;1636048691;1640251697;1640264403;1640276582;1640306007;1640326205;1640326230;1640330072;1640334195;1640337426;1720131759;1720137256;1720144370;1720148880;1720151850;1720155616;1720161841;1842444165;1943215793;2183808182;2183921966;2183985513;2184098058;2184133137;2184153852;2184168890;2184199958;2184234912;2184932293;2186766628;2186796339;2186856503;2186857668;2186865070;2271188511;2271210394;2271219774;2271240621;2271262133;2271270261;2326866320;2559437928;2559748332		LOW	0 exact/strong owner(s); 50 family/generic supporting relation(s).	NO
оберег автомобильный	STORE_GENERIC		1640276582;2184133137;2559748332		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
оберег автомобильный на зеркало	FAMILY_SHARED		1943215793		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
оберег амулет в машину с волосами	FAMILY_SHARED		2559817779		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
оберег боги из дерева	FAMILY_SHARED		2184133137		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
оберег в авто	STORE_GENERIC		2184133137;2186843798		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
оберег в автомобиль	STORE_GENERIC		1611695246;1636048691;2184133137;2184932293;2271270261		LOW	0 exact/strong owner(s); 5 family/generic supporting relation(s).	NO
оберег в автомобиль на зеркало	STORE_GENERIC		2184153852;2186850644;2271275793		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
оберег в автомобишь	FAMILY_SHARED		2184133137		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
оберег в виде зеркала	FAMILY_SHARED		2184098058		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
оберег в виде тельца	FAMILY_SHARED		1720161841		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
оберег в дорогу	FAMILY_SHARED		2271270261		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
оберег в карман в машину	FAMILY_SHARED		2184168890		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
